Symbol,CompanyName,ISIN, Sector
CINELINE,Cineline India Limited,INE704H01022,EQ
CINEVISTA,Cinevista Limited,INE039B01026,BE
CIPLA,Cipla Limited,INE059A01026,EQ
CLEAN,Clean Science and Technology Limited,INE227W01023,EQ
CLEDUCATE,CL Educate Limited,INE201M01029,EQ
CLSEL,Chaman Lal Setia Exports Limited,INE419D01026,EQ
CMICABLES,CMI Limited,INE981B01011,BZ
CMSINFO,CMS Info Systems Limited,INE925R01014,EQ
COALINDIA,Coal India Limited,INE522F01014,EQ
COASTCORP,Coastal Corporation Limited,INE377E01024,EQ
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,EQ
COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011,EQ
COFORGE,Coforge Limited,INE591G01025,EQ
COHANCE,Cohance Lifesciences Limited,INE03QK01018,EQ
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,EQ
COMPINFO,Compuage Infocom Limited,INE070C01037,BZ
COMPUSOFT,Compucom Software Limited,INE453B01029,EQ
COMSYN,Commercial Syn Bags Limited,INE073V01015,EQ
CONCOR,Container Corporation of India Limited,INE111A01025,EQ
CONCORDBIO,Concord Biotech Limited,INE338H01029,EQ
CONFIPET,Confidence Petroleum India Limited,INE552D01024,EQ
CONSOFINVT,Consolidated Finvest & Holdings Limited,INE025A01027,EQ
CONTROLPR,Control Print Limited,INE663B01015,EQ
CORALFINAC,Coral India Finance & Housing Limited,INE558D01021,EQ
CORDSCABLE,Cords Cable Industries Limited,INE792I01017,EQ
COROMANDEL,Coromandel International Limited,INE169A01031,EQ
COSMOFIRST,COSMO FIRST LIMITED,INE757A01017,EQ
COUNCODOS,Country Condo's Limited,INE695B01025,BE
CPCAP,CP Capital Limited,INE521J01018,EQ
CRAFTSMAN,Craftsman Automation Limited,INE00LO01017,EQ
CREATIVE,Creative Newtech Limited,INE985W01018,EQ
CREATIVEYE,Creative Eye Limited,INE230B01021,BE
CREDITACC,CREDITACCESS GRAMEEN LIMITED,INE741K01010,EQ
CREST,Crest Ventures Limited,INE559D01011,EQ
CRISIL,CRISIL Limited,INE007A01025,EQ
CROMPTON,Crompton Greaves Consumer Electricals Limited,INE299U01018,EQ
CROWN,Crown Lifters Limited,INE491V01019,EQ
CSBBANK,CSB Bank Limited,INE679A01013,EQ
CSLFINANCE,CSL Finance Limited,INE718F01018,EQ
CTE,Cambridge Technology Enterprises Limited,INE627H01017,BE
CUB,City Union Bank Limited,INE491A01021,EQ
CUBEXTUB,Cubex Tubings Limited,INE144D01012,EQ
CUMMINSIND,Cummins India Limited,INE298A01020,EQ
